Freq;Ampl;Phase
12.6953125;2.079505444;-0.199705213
12.890625;2.128235579;-0.167551503
13.0859375;2.186138391;-0.148477778
13.28125;2.339530945;-0.074790277
13.4765625;2.522044182;-0.07061512
13.671875;2.661420584;-0.095728531
13.8671875;2.796408653;-0.088051833
14.0625;2.986787319;-0.101658456
14.2578125;3.129206896;-0.118733503
14.453125;3.234844923;-0.168014511
14.6484375;3.383281946;-0.134079844
14.84375;3.550522804;-0.145209089
15.0390625;3.765161276;-0.141796157
15.234375;4.006830215;-0.131102756
15.4296875;4.332808495;-0.13020511
15.625;4.708582878;-0.140024841
15.8203125;5.102632523;-0.148917213
16.015625;5.535508633;-0.159660056
16.2109375;6.103302956;-0.172872335
16.40625;6.788047314;-0.186693773
16.6015625;7.607530594;-0.207483396
16.796875;8.636802673;-0.223883748
16.9921875;10.09225082;-0.252367795
17.1875;12.09853458;-0.294589251
17.3828125;15.01745605;-0.3620933
17.578125;19.46208572;-0.466106236
17.7734375;27.09438515;-0.642141938
17.96875;40.82332993;-1.014055729
18.1640625;51.08785629;-1.836553693
18.359375;32.61616898;-2.451323986
18.5546875;22.28111649;-2.692538738
18.75;16.39680862;-2.830909729
18.9453125;12.74138355;-2.917412758
19.140625;10.25453281;-2.955569744
19.3359375;8.706185341;-2.986938477
19.53125;7.437693119;-3.009874821
19.7265625;6.501059055;-3.021192312
19.921875;5.772470474;-3.0316329
20.1171875;5.154759407;-3.035783529
20.3125;4.674492359;-3.038684368
20.5078125;4.215571404;-3.03350997
20.703125;3.918511391;-3.024625778
20.8984375;3.675000668;-3.018181801
21.09375;3.464122057;-3.019509315
21.2890625;3.279244184;-3.024064064
21.484375;3.170225382;-3.028904438
21.6796875;3.015008211;-3.071166992
21.875;2.853535414;-3.101557493
22.0703125;2.621178627;-3.138952494
22.265625;2.430000067;-3.135001421
22.4609375;2.295844316;-3.140920639
22.65625;2.173825264;3.123825788
22.8515625;2.043520451;3.11310935
23.046875;1.904405117;3.100311995
23.2421875;1.806132197;3.090727329
23.4375;1.704456449;3.085848093
23.6328125;1.608792424;3.097630262
23.828125;1.553274155;3.088824511
24.0234375;1.477674127;3.060318232
24.21875;1.39483273;3.010393858
24.4140625;1.256115794;2.963162184
24.609375;1.081344604;2.949747562
24.8046875;0.925328851;3.096401215
25;0.938800275;-3.066226006
25.1953125;0.983646691;-3.054294348
25.390625;0.970698953;-3.074282885
25.5859375;0.94069767;-3.098352671
25.78125;0.887053549;-3.106043577
25.9765625;0.831634164;-3.106496334
