Freq;Ampl;Phase
24.21875;0.349229455;2.493309021
24.4140625;0.305268228;2.37475419
24.609375;0.268803865;2.198799849
24.8046875;0.239533454;2.008812428
25;0.227430448;1.793650627
25.1953125;0.227530584;1.546839714
25.390625;0.245007008;1.304873109
25.5859375;0.270880103;1.080051899
25.78125;0.290308744;0.854142845
25.9765625;0.306121588;0.776436031
26.171875;0.35997805;0.714648604
26.3671875;0.418890208;0.630841017
26.5625;0.483086377;0.55333972
26.7578125;0.555370152;0.469405085
26.953125;0.627558231;0.375029773
27.1484375;0.691843271;0.279812068
27.34375;0.741853654;0.162354767
27.5390625;0.722739279;0.041984946
27.734375;0.628714085;0.141034529
27.9296875;0.760063291;0.278742075
28.125;0.869715333;0.25576064
28.3203125;0.964974761;0.235447511
28.515625;1.054430366;0.210807726
28.7109375;1.136980295;0.18903783
28.90625;1.216434717;0.162679926
29.1015625;1.291282535;0.145140857
29.296875;1.375736713;0.13659212
29.4921875;1.458563685;0.11753206
29.6875;1.554396749;0.093686521
29.8828125;1.632060766;0.078252889
30.078125;1.703393459;0.04426666
30.2734375;1.724289536;0.025559226
30.46875;1.74794364;0.003100453
30.6640625;1.683570504;0.015523962
30.859375;1.738181472;0.144980401
31.0546875;1.972571731;0.166919053
31.25;2.133638382;0.154417723
31.4453125;2.279453754;0.140861735
31.640625;2.412318707;0.125398636
31.8359375;2.537825823;0.109697275
32.03125;2.662808895;0.099443145
32.2265625;2.79158783;0.086758718
32.421875;2.897306681;0.082609624
32.6171875;3.115039587;0.101131432
32.8125;3.339539766;0.072867967
33.0078125;3.540337563;0.054638293
33.203125;3.774257183;0.039324183
33.3984375;4.038931847;0.017204037
33.59375;4.335574627;-0.009072749
33.7890625;4.65672636;-0.039080024
33.984375;5.004526138;-0.073833637
34.1796875;5.4245224;-0.110706329
34.375;5.865726948;-0.160995319
34.5703125;6.327625275;-0.213387236
34.765625;6.82706213;-0.269201338
34.9609375;7.369163513;-0.327738076
35.15625;7.963349819;-0.387597263
